stationnames,subwayCount,transferCount,tr,interchangeCount,intechangeDis,transferTime,transferDis,area,ob,ic
广安门内,15545,1101,0.070826632,443.318973,190.5518681,2786.111824,21427.04245,2098.947604,0.770741703,1.909745899
六道口,10097,1104,0.109339408,361.304431,304.3954644,914.921001,3425.329771,122.6273712,0.390003384,1.172229375
来广营,12319,1168,0.094812891,344.309075,226.2012745,818.78339,3115.267133,77.49604564,0.366703927,0.640961117
大钟寺,10856,1211,0.111551216,178.448789,171.7514608,491.333333,2238.162083,70.40854746,0.365740801,1.234708917
角门西,16541,1239,0.074904782,218.662894,243.8368513,847.968472,3286.735161,94.57021551,0.571237834,0.751586966
北苑,13939,1270,0.091111271,306.626485,286.0123374,513.88455,1319.981304,18.15359675,0.546061558,0.725948777
永丰,6013,1279,0.212705804,151.005473,95.50881617,1075.531665,4182.715259,85.00681442,0.503218992,0.974555131
劲松,19758,1285,0.065036947,303.651361,240.6731115,1048.733852,3873.603323,78.20856422,0.655533009,0.736056281
立水桥,22523,1285,0.05705279,281.280517,168.6083686,1272.529506,3545.340451,120.4258555,0.531406885,0.583181637
团结湖,23240,1302,0.056024096,304.180542,247.6502973,1698.112254,5971.203558,79.39010579,0.594579805,0.550129088
朝阳公园,8715,1352,0.155134825,257.068837,156.8468377,1282.523316,4400.757496,87.82506217,0.526521347,2.285140562
惠新西街北口,19195,1355,0.0705913,305.679343,253.6503159,716.542132,3773.811436,167.1963819,0.444428739,0.747746809
大葆台,4272,1384,0.323970037,108.457438,183.1522621,654.743038,2722.111297,23.77010814,0.802174923,0.593164794
西二旗,41087,1403,0.034147054,335.3799,264.301688,1176.920171,3957.010927,196.577873,0.404598384,0.142697203
生命科学园,13808,1428,0.103418308,219.346744,143.7507027,977.590343,3879.553238,118.024315,0.625131748,0.468424102
北运河西,14146,1477,0.104411141,365.566689,214.331192,697.834123,2381.064208,60.7175393,0.527283893,0.256821716
崔各庄,3058,1480,0.483976455,142.373648,86.81270328,729.54527,2439.510815,25.53280301,0.365399201,0.934597776
五棵松,22459,1493,0.066476691,285.02947,170.5972359,744.459477,3153.943225,97.94725056,0.672460195,0.530700387
健德门,16325,1502,0.092006126,383.861073,361.7742813,1504.977852,10743.01528,190.9038657,0.876508956,1.042327718
同济南路,10194,1516,0.14871493,376.484808,348.9639341,1053.717305,4333.670684,125.3936149,0.385786723,0.406807926
